age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,income
39, State-gov, Bachelors, Never-married, Tech-support, White, Male,40, United-States, <=50K
50, Self-employment, Bachelors, Married, Managerial, White, Male,13, United-States, <=50K
38, Company, College, Divorced, Shipper, White, Male,40, United-States, <=50K
53, Company, High_school, Married, Shipper, Black, Male,40, United-States, <=50K
28, Company, Bachelors, Married, Shipper, Black, Female,40, India, <=50K
37, Company, Masters, Married, Managerial, White, Female,40, United-States, <=50K
49, Company, Second_school, Married, Others, Yellow, Female,16, Vietnam, <=50K
52, Self-employment, College, Married, Managerial, White, Male,45, United-States, >50K
31, Company, Masters, Never-married, Doctor, White, Female,50, United-States, >50K
42, Company, Bachelors, Married, Managerial, White, Male,40, United-States, >50K
37, Company, College, Married, Managerial, Black, Male,80, United-States, >50K
30, State-gov, Bachelors, Married, Doctor, White, Male,40, India, >50K
23, Company, Bachelors, Never-married, Tech-support, White, Female,30, United-States, <=50K
32, Company, University, Never-married, Sales, Black, Male,50, United-States, <=50K
40, Company, University, Married, Sales, White, Male,40, China, >50K
34, Company, Second_school, Married, Shipper, Yellow, Male,45, Canada, <=50K
25, Self-employment, College, Never-married, Protective-serv, White, Male,35, United-States, <=50K
32, Company, College, Never-married, Shipper, White, Male,40, United-States, <=50K
38, Company, High_school, Married, Sales, White, Male,50, United-States, <=50K
43, Self-employment, Masters, Divorced, Managerial, White, Female,45, United-States, >50K
40, Company, Doctorate, Married, Doctor, White, Male,60, United-States, >50K
54, Company, College, Married, Others, Black, Female,20, United-States, <=50K
35, Company, Second_school, Married, Protective-serv, Black, Male,40, United-States, <=50K
43, Company, High_school, Married, Shipper, White, Male,40, United-States, <=50K
59, Company, College, Divorced, Tech-support, White, Female,40, United-States, <=50K
56, Self-employment, Bachelors, Married, Tech-support, White, Male,40, United-States, >50K
19, Company, College, Never-married, Protective-serv, White, Male,40, United-States, <=50K
54, Company, College, Married, Tech-support, White, Male,60, United-States, >50K
39, Company, College, Divorced, Managerial, White, Male,80, United-States, <=50K
49, Company, College, Married, Protective-serv, White, Male,40, United-States, <=50K
23, Self-employment, University, Never-married, Protective-serv, White, Male,52, United-States, <=50K
20, Company, College, Never-married, Sales, Black, Male,44, United-States, <=50K
45, Company, Bachelors, Divorced, Managerial, White, Male,40, United-States, <=50K
30, Self-employment, College, Married, Tech-support, White, Male,40, United-States, <=50K
