age,workclass,education,marital_status,occupation,race,sex,hours_per_week,native_country,income
39, State-gov, Bachelors, Single, Tech-support, White, Male,40, United-States, <=50K
50, Self-emp, Bachelors, Married, Managerial, White, Male,13, United-States, <=50K
38, Private, College, Others, Shipper, White, Male,40, United-States, <=50K
53, Private, High_school, Married, Shipper, Black, Male,40, United-States, <=50K
28, Private, Bachelors, Married, Shipper, Black, Female,40, India, <=50K
37, Private, Masters, Married, Managerial, White, Female,40, United-States, <=50K
49, Private, Second_school, Married, Others, Yellow, Female,16, Vietnam, <=50K
52, Self-emp, College, Married, Managerial, White, Male,45, United-States, >50K
31, Private, Masters, Single, Doctor, White, Female,50, United-States, >50K
42, Private, Bachelors, Married, Managerial, White, Male,40, United-States, >50K
37, Private, College, Married, Managerial, Black, Male,80, United-States, >50K
30, State-gov, Bachelors, Married, Doctor, White, Male,40, India, >50K
23, Private, Bachelors, Single, Tech-support, White, Female,30, United-States, <=50K
32, Private, University, Single, Sales, Black, Male,50, United-States, <=50K
40, Private, University, Married, Sales, White, Male,40, China, >50K
34, Private, Second_school, Married, Shipper, Yellow, Male,45, Canada, <=50K
25, Self-emp, College, Single, Protective-serv, White, Male,35, United-States, <=50K
32, Private, College, Single, Shipper, White, Male,40, United-States, <=50K
38, Private, High_school, Married, Sales, White, Male,50, United-States, <=50K
43, Self-emp, Masters, Others, Managerial, White, Female,45, United-States, >50K
40, Private, Doctorate, Married, Doctor, White, Male,60, United-States, >50K
54, Private, College, Married, Others, Black, Female,20, United-States, <=50K
35, Private, Second_school, Married, Protective-serv, Black, Male,40, United-States, <=50K
43, Private, High_school, Married, Shipper, White, Male,40, United-States, <=50K
59, Private, College, Others, Tech-support, White, Female,40, United-States, <=50K
56, Self-emp, Bachelors, Married, Tech-support, White, Male,40, United-States, >50K
19, Private, College, Single, Protective-serv, White, Male,40, United-States, <=50K
54, Private, College, Married, Tech-support, White, Male,60, United-States, >50K
39, Private, College, Others, Managerial, White, Male,80, United-States, <=50K
49, Private, College, Married, Protective-serv, White, Male,40, United-States, <=50K
23, Self-emp, University, Single, Protective-serv, White, Male,52, United-States, <=50K
20, Private, College, Single, Sales, Black, Male,44, United-States, <=50K
45, Private, Bachelors, Others, Managerial, White, Male,40, United-States, <=50K
30, Self-emp, College, Married, Tech-support, White, Male,40, United-States, <=50K
22, State-gov, College, Married, Others, Black, Male,15, United-States, <=50K
48, Private, High_school, Single, Shipper, Yellow, Male,40, Vietnam, <=50K
21, Private, College, Single, Shipper, White, Male,40, United-States, <=50K
19, Private, College, Married, Tech-support, White, Female,25, United-States, <=50K
31, Private, College, Married, Sales, White, Male,38, China, >50K
48, Self-emp, University, Married, Shipper, White, Male,40, United-States, <=50K
31, Private, Second_school, Married, Shipper, White, Male,43, United-States, <=50K
53, Self-emp, Bachelors, Married, Shipper, White, Male,40, United-States, <=50K
24, Private, Bachelors, Married, Tech-support, White, Male,50, United-States, <=50K
49, Private, College, Married, Tech-support, White, Female,40, United-States, <=50K
25, Private, College, Single, Shipper, White, Male,35, United-States, <=50K
57, Self-emp, Bachelors, Married, Doctor, Black, Male,40, United-States, >50K
53, Private, College, Married, Shipper, White, Male,38, United-States, <=50K
44, Private, Masters, Others, Managerial, White, Female,40, United-States, <=50K
41, State-gov, University, Married, Protective-serv, White, Male,40, United-States, <=50K
29, Private, University, Single, Shipper, White, Male,43, United-States, <=50K
25, Private, College, Married, Managerial, Other, Female,40, United-States, <=50K
18, Private, College, Single, Others, White, Female,30, China, <=50K
47, Private, College, Married, Doctor, Yellow, Female,60, Philippines, >50K
50, Self-emp, Bachelors, Others, Managerial, White, Male,55, United-States, >50K
47, Self-emp, College, Others, Managerial, White, Male,60, United-States, <=50K
43, Private, College, Married, Tech-support, White, Male,40, United-States, >50K
46, Private, Primary_school, Married, Shipper, White, Male,40, Canada, <=50K
35, Private, University, Married, Others, Yellow, Male,40, Vietnam, <=50K
41, Private, College, Married, Tech-support, White, Male,48, United-States, <=50K
30, Private, College, Married, Shipper, White, Male,40, United-States, <=50K
30, Private, Bachelors, Married, Sales, White, Male,40, United-States, <=50K
32, Private, Second_school, Married, Shipper, White, Male,40, China, <=50K
48, Private, College, Married, Shipper, White, Male,40, United-States, <=50K
42, Private, Doctorate, Married, Doctor, White, Male,45, United-States, >50K
29, Private, College, Others, Tech-support, White, Male,58, United-States, <=50K
36, Private, College, Married, Protective-serv, White, Male,40, United-States, <=50K
28, Private, College, Others, Tech-support, White, Female,40, United-States, <=50K
53, Private, College, Married, Managerial, White, Female,40, United-States, >50K
49, Self-emp, College, Married, Managerial, White, Male,50, United-States, >50K
25, Private, College, Single, Tech-support, White, Male,40, United-States, <=50K
19, Private, College, Single, Shipper, White, Male,32, United-States, <=50K
31, Private, Bachelors, Married, Sales, Black, Female,40, United-States, <=50K
29, Self-emp, Bachelors, Married, Sales, White, Male,70, United-States, >50K
23, Private, College, Single, Shipper, White, Male,40, United-States, <=50K
79, Private, College, Married, Shipper, White, Male,20, United-States, <=50K
27, Private, College, Single, Others, White, Male,40, Canada, <=50K
40, Private, University, Married, Tech-support, White, Male,40, United-States, <=50K
67, Private, High_school, Married, Tech-support, White, Male,2, United-States, <=50K
18, Private, High_school, Single, Others, White, Female,22, United-States, <=50K
31, Private, Second_school, Married, Protective-serv, White, Male,40, United-States, <=50K
18, Private, College, Single, Sales, White, Male,30, United-States, <=50K
52, Private, Bachelors, Married, Others, White, Male,40, India, <=50K
46, Private, College, Married, Others, White, Female,40, United-States, <=50K
59, Private, College, Married, Sales, White, Male,48, United-States, <=50K
44, Private, College, Others, Sales, White, Female,40, United-States, >50K
53, Private, College, Others, Sales, White, Female,35, United-States, <=50K
49, Self-emp, College, Married, Protective-serv, White, Male,40, United-States, >50K
33, Private, Masters, Married, Shipper, White, Male,50, United-States, <=50K
30, Private, Second_school, Single, Sales, White, Male,40, United-States, <=50K
43, Self-emp, Doctorate, Single, Doctor, White, Female,50, United-States, >50K
57, Private, University, Married, Shipper, White, Male,40, United-States, <=50K
37, Private, College, Others, Protective-serv, White, Female,40, United-States, <=50K
28, Private, College, Others, Shipper, Black, Female,25, United-States, <=50K
30, Private, College, Married, Sales, Yellow, Female,35, China, <=50K
34, Self-emp, Bachelors, Married, Protective-serv, White, Male,40, United-States, >50K
29, Self-emp, College, Single, Shipper, White, Male,50, United-States, <=50K
48, Self-emp, Doctorate, Married, Doctor, White, Male,60, United-States, >50K
37, Private, College, Married, Sales, White, Male,48, United-States, >50K
48, Private, University, Others, Managerial, White, Female,40, England, <=50K
32, Self-emp, College, Single, Others, Black, Male,40, United-States, <=50K
76, Private, Masters, Married, Protective-serv, White, Male,15, United-States, <=50K
44, Private, Bachelors, Married, Managerial, White, Male,60, United-States, >50K
47, Self-emp, Masters, Single, Shipper, White, Female,50, United-States, <=50K
20, Private, College, Single, Tech-support, White, Female,40, United-States, <=50K
29, Private, College, Single, Protective-serv, White, Male,40, United-States, <=50K
32, Self-emp, College, Married, Sales, White, Male,40, United-States, >50K
17, Private, High_school, Single, Tech-support, White, Female,32, United-States, <=50K
30, Private, High_school, Single, Shipper, White, Male,40, United-States, <=50K
31, Self-emp, College, Single, Tech-support, White, Female,40, United-States, <=50K
42, Private, College, Married, Shipper, White, Male,40, United-States, <=50K
24, Private, Bachelors, Single, Sales, White, Male,40, United-States, <=50K
38, Private, College, Married, Doctor, White, Male,40, United-States, >50K
56, Self-emp, College, Married, Others, White, Male,50, Canada, >50K
28, Private, College, Married, Sales, White, Female,25, United-States, <=50K
36, Private, College, Single, Shipper, White, Female,40, United-States, <=50K
53, Private, Second_school, Married, Shipper, White, Male,50, United-States, <=50K
56, Self-emp, College, Married, Sales, White, Male,50, United-States, <=50K
49, Self-emp, University, Married, Sales, Black, Male,40, United-States, >50K
55, Private, College, Married, Sales, White, Male,56, United-States, <=50K
22, Private, College, Single, Protective-serv, White, Male,41, United-States, <=50K
21, Private, College, Single, Others, White, Female,40, United-States, <=50K
40, Private, Bachelors, Married, Managerial, White, Male,60, United-States, <=50K
30, Private, Bachelors, Single, Managerial, Black, Male,40, Germany, <=50K
29, State-gov, Bachelors, Married, Doctor, White, Male,50, United-States, >50K
19, Private, College, Single, Others, Black, Male,35, United-States, <=50K
47, Private, Bachelors, Married, Managerial, White, Female,40, United-States, >50K
20, Private, College, Single, Tech-support, White, Female,28, United-States, <=50K
31, Private, University, Married, Managerial, White, Male,40, United-States, >50K
35, Private, College, Married, Tech-support, White, Male,40, United-States, <=50K
39, Private, College, Others, Protective-serv, White, Male,40, United-States, <=50K
28, Private, University, Single, Sales, White, Female,60, United-States, <=50K
24, Private, College, Single, Others, White, Female,40, United-States, <=50K
38, Self-emp, College, Married, Protective-serv, White, Male,35, United-States, <=50K
37, Private, Bachelors, Married, Sales, White, Male,50, United-States, <=50K
46, Private, University, Others, Tech-support, Black, Female,36, United-States, <=50K
38, Self-emp, Masters, Married, Doctor, White, Male,40, England, >50K
43, Self-emp, College, Married, Protective-serv, White, Male,60, United-States, <=50K
27, Private, University, Married, Tech-support, White, Female,35, United-States, <=50K
20, Private, College, Single, Sales, White, Male,20, United-States, <=50K
49, Private, College, Married, Sales, White, Male,40, United-States, >50K
61, Self-emp, College, Married, Protective-serv, White, Male,40, United-States, <=50K
27, Private, College, Single, Sales, White, Female,40, United-States, <=50K
19, Private, College, Single, Others, White, Male,30, Canada, <=50K
45, Private, University, Single, Doctor, White, Female,40, United-States, >50K
70, Private, College, Single, Protective-serv, White, Male,15, United-States, <=50K
31, Private, College, Single, Shipper, Black, Female,30, United-States, <=50K
22, Private, College, Married, Others, White, Male,24, United-States, <=50K
36, Private, College, Married, Others, White, Female,24, United-States, <=50K
64, Private, High_school, Married, Protective-serv, White, Male,40, United-States, <=50K
43, Private, College, Others, Tech-support, White, Female,40, United-States, <=50K
47, Self-emp, College, Others, Tech-support, White, Female,38, Canada, <=50K
34, Private, College, Single, Tech-support, White, Female,40, United-States, <=50K
33, Private, Bachelors, Single, Managerial, Yellow, Female,40, Philippines, <=50K
21, Private, College, Single, Protective-serv, White, Male,35, United-States, <=50K
52, Private, College, Others, Tech-support, White, Male,45, United-States, >50K
48, Private, College, Married, Protective-serv, White, Male,46, United-States, <=50K
23, Private, Bachelors, Single, Shipper, White, Male,40, United-States, <=50K
71, Self-emp, College, Married, Sales, Black, Male,2, United-States, <=50K
29, Private, College, Others, Protective-serv, White, Male,60, United-States, <=50K
42, Private, Bachelors, Married, Others, Black, Male,50, United-States, <=50K
68, Private, Primary_school, Others, Shipper, White, Female,20, United-States, <=50K
25, Private, College, Single, Others, White, Female,40, United-States, <=50K
44, Self-emp, Masters, Others, Managerial, Yellow, Female,40, United-States, <=50K
28, Private, College, Single, Managerial, Yellow, Female,40, England, <=50K
45, Self-emp, Masters, Married, Sales, White, Male,40, United-States, >50K
36, Private, College, Others, Others, White, Female,40, Canada, <=50K
39, Self-emp, University, Single, Managerial, White, Male,42, United-States, <=50K
46, State-gov, Masters, Married, Protective-serv, White, Male,40, United-States, <=50K
18, Private, High_school, Single, Shipper, White, Male,16, United-States, <=50K
66, Self-emp, University, Married, Shipper, White, Female,20, United-States, <=50K
27, Private, College, Single, Others, White, Male,40, United-States, <=50K
28, State-gov, College, Married, Protective-serv, White, Male,40, United-States, <=50K
51, Private, College, Married, Sales, White, Male,40, United-States, >50K
